Índice;Data;Bloco;Horário;Bairro;partida;dispersao
561;21 de Fevereiro - Sábado;Bloco Carnavalesco Cordão do Jamelão;14:00;Bela Vista;R. Maria José;R. Maria José
562;21 de Fevereiro - Sábado;Bloco Kaya na Gandaia;14:00;Brooklin;R. Wizard;R. Girassol
563;21 de Fevereiro - Sábado;Bloco S/A;14:00;Butantã;R. Estevão Lopes;Av. Valdemar Ferreira
564;21 de Fevereiro - Sábado;Raízes de Casa Verde;14:00;Casa Verde;Av. Baruel;Pça. Bartolomeu Fernandes de Faria
565;21 de Fevereiro - Sábado;Familia Sabotagem Sabota;14:00;Jardim Hercilia;R. Angélica da Costa Carvalho;R. Dr. Cândido Dores
566;21 de Fevereiro - Sábado;Bloco Eu Sou do Axé;14:00;Parque Nações Unidas;R. Vicente Amato Sobrinho 579;R. Vicente Amato Sobrinho 828
567;21 de Fevereiro - Sábado;É Pequeno + Balança;14:00;Penha de França;R.Mirandinha;R. Atuai
568;21 de Fevereiro - Sábado;A Ema Gemeu de Canto a Canto;14:00;Pinheiros;R. Padre Garcia Velho;R. Gerard David
569;21 de Fevereiro - Sábado;Heavy Bloco;14:00;Pinheiros;R. dos Pinheiros;R. Conego Eugenio Leite
570;21 de Fevereiro - Sábado;Os Madalena;14:00;Pinheiros;Rua Fidalga;R. Fidalga
571;21 de Fevereiro - Sábado;Te Amo Mas só Como Amigo;14:00;Pinheiros;R. Vupabussu;R. Ferreira de Araújo
572;21 de Fevereiro - Sábado;Bloco Mara;14:00;Planalto Paulista;Av. Dr. José Aristodemos Pinotti;Av. Dr. José Aristodemos Pinotti
573;21 de Fevereiro - Sábado;BLOCO CARAVIVA;14:00;Planalto Paulista;Av. Odila;R. Joaquim de Almeida
574;21 de Fevereiro - Sábado;Bloco Cecílias e Buarques;14:00;Santa Cecilia;R. Imaculada Conceição;Lgo. Santa Cecília
575;21 de Fevereiro - Sábado;Viracopo;14:00;Santana;R. Cel. Lúcio Rosales;R. Cel. Lúcio Rosales
576;21 de Fevereiro - Sábado;Cordão do Balaio do Canjico;14:00;Sítio Morro Grande;R. Raimundo da Cunha Matos;R. Manoel de Souza Azevedo
577;21 de Fevereiro - Sábado;Bloco Feminista;14:00;Vila Gumercindo;R. Dom Silvério Pimenta;R. Dom Silvério Pimenta
578;21 de Fevereiro - Sábado;Banda Carnavalesca Macaco Cansado;14:00;Vila Madalena;R. Harmonia;R. Harmonia
579;21 de Fevereiro - Sábado;Bloco do Pedal;14:00;Vila Mariana;R. Guimarães Passos;entre R. Paula Ney e Pça. Rosa Alves da Silva (Trecho da Feira Livre)
580;21 de Fevereiro - Sábado;Bloco do Chiquinho Social Clube;14:30;Jardim Maringa;R. Santa Bertila;R. Fernandes Porto Alegre
581;21 de Fevereiro - Sábado;Bloco Viva Praça!;15:00;Parque Continental;R. Eugênio Pinto Moreira;R. Eugênio Pinto Moreira
582;21 de Fevereiro - Sábado;BaianaSystem;15:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento as Bandeiras
583;21 de Fevereiro - Sábado;Bloco Fala Comigo bb;15:00;Vila Monumento;R. dos Patriotas;entre R. Bom Pastor e Av. Nazaré. bloco de pessoas PCD
584;21 de Fevereiro - Sábado;Gringolôco;16:00;Pinheiros;R. Inácio Pereira da Rocha 385;R. Inácio Pereira da Rocha 231
585;21 de Fevereiro - Sábado;Bloco Vem Com Que Tem Se Não Tem Vem Também;16:45;Vila São José;R. Oliveira Melo;R. Oliveira Melo
587;22 de Fevereiro - Domingo;Bloquinho Infantil Fraldinha Molhada;08:00;;R. José Oscar Abreu Sampaio 310;R. José Oscar Abreu Sampaio 187
588;22 de Fevereiro - Domingo;Carnafacul - Vem com o Gigante;09:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
589;22 de Fevereiro - Domingo;Bloco Chega Mais - Anos 80;10:00;Jardim das Bandeiras;R. Nova Veneza 149;R. Nova Veneza 184
590;22 de Fevereiro - Domingo;QUILOMBO CULTURAL DE MACUMBARIAS E BLOCO CARNAVALESCO A MACUMBA DA NEGA;10:00;Parque Residencial Oratorio;R. Luís Pereira da Silva 330;R. Luís Pereira da Silva 600
591;22 de Fevereiro - Domingo;Bloco Calor da Rua;11:00;Bela Vista;Pça. Dom Orione;R. Rui Barbosa (até altura da R. Manuel Dutra)
592;22 de Fevereiro - Domingo;Bloco dos Bonecões;11:00;Centro Histórico de São Paulo;R. XV de novembro;Lgo. do Café
593;22 de Fevereiro - Domingo;Bloco Tatuapé;11:00;Vila Regente Feijó;Av. Vereador Abel Ferreira;R. Guandu
594;22 de Fevereiro - Domingo;Associação Recreativa e Cultural Bloco Carnavalesco União Dos Bairros;12:00;Campo Limpo;Pça. Luiza Pera dos Santos;Pça. João Pais Malio
595;22 de Fevereiro - Domingo;Cordão Quintal da XIKA;12:00;Itaquera;Av. Córrego do Jacu;Av. Corrego do Jacú
596;22 de Fevereiro - Domingo;Bloco Carnaroseira;12:00;Jardim Gianetti;R. Carlo Mannelli;R. Carlo Mannelli
597;22 de Fevereiro - Domingo;Bloco Revoada de Carnaval;12:00;Pinheiros;R. Ferreira de Araújo;R. Vupabussu
598;22 de Fevereiro - Domingo;GRCE é Nós Que Tá;12:00;Vila Diva;R. Leonor Barbosa Rodrigues 308;R. Leonor Barbosa Rodrigues 420
599;22 de Fevereiro - Domingo;Imperatriz da Sul;13:00;Americanópolis;R. das Pavanas;R. das Pavanas
600;22 de Fevereiro - Domingo;Ninguem Dorme;13:00;Butantã;Pça. Elis Regina;Tv. Pereira do Lago
601;22 de Fevereiro - Domingo;Bloco Desculpinha Esfarrapada;13:00;Cerqueira César;R. da Consolação;R. da Consolação
602;22 de Fevereiro - Domingo;Pipoca da Rainha;13:00;Consolação;R. da Consolação 2101;R. da Consolação 585
603;22 de Fevereiro - Domingo;Bloco Da Vaca;13:00;Ipiranga;R. dos Ituanos;R. dos Ituanos
604;22 de Fevereiro - Domingo;Bloco Eco Campos Pholia;13:00;Jardim Sao Joaquim;R. Ipel;Rua Ipel
605;22 de Fevereiro - Domingo;Bloco Confraternidade;13:00;Moema;Av. Jurema;Al. dos Anapurus
606;22 de Fevereiro - Domingo;I Love Paraisópolis Skate;13:00;Paraisópolis;R. Rudolf Lotze 55;R. Rudolf Lotze 350
607;22 de Fevereiro - Domingo;Bloco Nega véia;13:00;Parque Santo Antônio;"R. José Joaquim Gonçalves R. Maria Amélia Gouveia André; R. Amaro Gomes de Andrade";R. José Joaquim Gonçalves
608;22 de Fevereiro - Domingo;Esquerda Ligera;13:00;Pinheiros;R. Antonio Bicudo;R. Antonio Bicudo
609;22 de Fevereiro - Domingo;Bloco Jornada nas Estrelas;13:00;Pinheiros;R. Dos Pinheiros 762;R. Dos Pinheiros 54
610;22 de Fevereiro - Domingo;Bloco do Furduncinho;13:00;Pinheiros;R. Ferreira de Araújo;R. Padre Carvalho
611;22 de Fevereiro - Domingo;G.r.c.s.e.s. acadêmicos do parque Bristol;13:00;Sacoma;R. João José da Silva;R. Antônio José vaz
612;22 de Fevereiro - Domingo;FAVELA CHIC;13:00;Sapopemba;R. Isabel 185;R. Isabel 680
613;22 de Fevereiro - Domingo;Favela Folia Fest;13:00;Sapopemba;R. Sargento Luis Rodrigues Filho;R. Sargento Aires Silva Dias
614;22 de Fevereiro - Domingo;Caldeirão do Samba da Dobrada;13:00;Vila Baruel;R. Dobrada 165;R. Dobrada 03
615;22 de Fevereiro - Domingo;Bloco Tatuapé vem ai;13:00;Vila Gomes Cardim;Largo Nossa Senhora do Bom Parto;Largo Nossa Senhora do Bom Parto
616;22 de Fevereiro - Domingo;Bloco Carnavalesco Arrastão da Vila Guarani;13:00;Vila Guarani (Zona Sul);R. Teresa Toedtli;R. Edgard Pereira
617;22 de Fevereiro - Domingo;Bloco da Laluca;13:00;Vila Guilhermina;R. Jordânia;Pça. Nossa Senhora Anunciação
618;22 de Fevereiro - Domingo;Bloco Beats;13:00;Vila Mariana;Ibirapuera - Av. Pedro Álvares Cabral;entre Obelisco e Monumento às Bandeiras
619;22 de Fevereiro - Domingo;Bloco carnavalesco só quem tem problema em casa;13:00;Vila Medeiros;R. Goianésia 186;R. Goianésia 11
620;22 de Fevereiro - Domingo;Bloco Meu Amigo Charlie;13:00;Vila Olímpia;R. Caetano Velasco;R. Quatá
621;22 de Fevereiro - Domingo;Bloco Quebraê;13:00;Vila Oratorio;R. Henrique Schaumann 567;R. Henrique Schaumann 125
622;22 de Fevereiro - Domingo;Bloco Carnavalesco Levanta Quem Cai;13:00;Vila Salete;Pça. Serra de Tapes;Pça. Serra de Tapes
623;22 de Fevereiro - Domingo;Bloco do Vietnã;13:30;Vila Santa Catarina;R. Franklin Magalhaes;R. Franklin Magalhaes
624;22 de Fevereiro - Domingo;Bloco Evoé Zé;14:00;Bela Vista;R. Jaceguai;R. Abolição
625;22 de Fevereiro - Domingo;Bloco das Danietes;14:00;Butantã;R. José Alvares Maciel;R. João Firvida Blanco
626;22 de Fevereiro - Domingo;Bloco Va Toma Na Cupecê;14:00;Cidade Ademar;R. Antonio Gil 837;R. Antonio Gil 595
627;22 de Fevereiro - Domingo;Bloco da Ressaca;14:00;Jardim Ipanema (Zona Sul);Av. Francisco de Carvalho 48;Av. Francisco de Carvalho 162
628;22 de Fevereiro - Domingo;Bloco Kazunji;14:00;Jardim Peri Peri;Av. Junta Mizomoto;R. Plinio Salgado
629;22 de Fevereiro - Domingo;Bloco Tradição da Parada Inglesa;14:00;Jardim São Paulo;R. Viri;R. Viri
630;22 de Fevereiro - Domingo;Bloco Jah é;14:00;Parque Sao Luis;R. Ernesto Maietta;R. Soror Maria Celeste
631;22 de Fevereiro - Domingo;Filhos de Glande;14:00;Pinheiros;R. Campo Alegre;R. Campo Alegre
632;22 de Fevereiro - Domingo;CarnaCadoz - Reggae e Rock;14:00;Tremembé;Pça. Dona Mariquinha Sciascia;Pça. Dona Mariquinha Sciascia
633;22 de Fevereiro - Domingo;Bloco Cultural Carnavalesco Boêmios da Madame;14:00;Vila Aurora (Zona Norte);Av. Engenheiro Caetano Álvares 6600;Av. Engenheiro Caetano Álvares 7000
634;22 de Fevereiro - Domingo;Te Pego no Cantinho;14:00;Vila Indiana;R. Boturoca;R. Nobre Vieira
635;22 de Fevereiro - Domingo;Bloco de Pífanos de São Paulo;14:00;Vila Madalena;R. Girassol;R. Girassol
636;22 de Fevereiro - Domingo;Bloco do Síndico;14:00;Vila Nova Conceição;Av. Helio Pellegrino 200;Av. Helio Pellegrino 800
637;22 de Fevereiro - Domingo;BLOCO UNIÃO;14:00;Vila Oratorio;R. Ribeirão Branco;R. Ribeirão Branco
638;22 de Fevereiro - Domingo;Bloquinho dos Jatobazinhos;15:00;Conjunto Residencial José Bonifácio;Av. Nagib Farah Maluf 1209;Av. Nagib Farah Maluf 1410
639;22 de Fevereiro - Domingo;Bloco Carnaval Seu Bebelier;15:00;Vila Mascote;Av. Damasceno Vieira;Av. Damasceno Vieira
640;22 de Fevereiro - Domingo;Gringolôco;16:00;Pinheiros;R. Inácio Pereira da Rocha 385;R. Inácio Pereira da Rocha 231
641;22 de Fevereiro - Domingo;Bloco do Chocolatte;16:00;Vila Maria/Vila Guilherme;Pça. dos Trotadores;Pça. dos Trotadores
